Dataset,Seed,Model,Privacy Setting,Accuracy,F1 Score,Precision,Recall,Train Time (s)
COVID-19,44,DP Random Forest,DP e=0.1,0.9514,0.0,0.0,0.0,0.1454930305480957
COVID-19,45,Logistic Regression,Baseline (No Privacy),0.9556,0.3657142857142857,0.5981308411214953,0.26337448559670784,0.018499135971069336
COVID-19,45,Random Forest,Baseline (No Privacy),0.9584,0.4720812182741117,0.6158940397350994,0.38271604938271603,0.7704451084136963
COVID-19,45,DP Logistic Regression,DP e=10.0,0.7578,0.2647237401335762,0.15527065527065528,0.897119341563786,0.021090030670166016
COVID-19,45,DP Logistic Regression,DP e=5.0,0.7542,0.2618618618618619,0.15330520393811534,0.897119341563786,0.022152185440063477
COVID-19,45,DP Logistic Regression,DP e=1.0,0.7113,0.23279298432102047,0.13365883429966433,0.9012345679012346,0.024705171585083008
COVID-19,45,DP Logistic Regression,DP e=0.5,0.7566,0.2610807528840316,0.15313390313390313,0.8847736625514403,0.020243167877197266
COVID-19,45,DP Logistic Regression,DP e=0.1,0.798,0.2785714285714286,0.16853932584269662,0.8024691358024691,0.017611980438232422
COVID-19,45,DP Random Forest,DP e=10.0,0.9514,0.0,0.0,0.0,0.1439368724822998
COVID-19,45,DP Random Forest,DP e=5.0,0.9514,0.0,0.0,0.0,0.14424705505371094
COVID-19,45,DP Random Forest,DP e=1.0,0.9514,0.0,0.0,0.0,0.14336609840393066
COVID-19,45,DP Random Forest,DP e=0.5,0.9514,0.0,0.0,0.0,0.1435708999633789
COVID-19,45,DP Random Forest,DP e=0.1,0.9514,0.0,0.0,0.0,0.15212011337280273
COVID-19,46,Logistic Regression,Baseline (No Privacy),0.9573,0.4027972027972028,0.62882096069869,0.2962962962962963,0.02280402183532715
COVID-19,46,Random Forest,Baseline (No Privacy),0.9568,0.45591939546599497,0.5876623376623377,0.3724279835390947,0.7940878868103027
COVID-19,46,DP Logistic Regression,DP e=10.0,0.7546,0.2581620314389359,0.1513111268603827,0.8786008230452675,0.020509004592895508
COVID-19,46,DP Logistic Regression,DP e=5.0,0.7532,0.2575210589651023,0.15081042988019733,0.8806584362139918,0.020842313766479492
COVID-19,46,DP Logistic Regression,DP e=1.0,0.747,0.2528056704075605,0.14758620689655172,0.8806584362139918,0.022880077362060547
COVID-19,46,DP Logistic Regression,DP e=0.5,0.7956,0.2907702984038862,0.17487479131886477,0.8621399176954733,0.017539024353027344
COVID-19,46,DP Logistic Regression,DP e=0.1,0.8981,0.39164179104477614,0.27586206896551724,0.6748971193415638,0.015022754669189453
COVID-19,46,DP Random Forest,DP e=10.0,0.9514,0.0,0.0,0.0,0.146467924118042
COVID-19,46,DP Random Forest,DP e=5.0,0.9514,0.0,0.0,0.0,0.14559507369995117
COVID-19,46,DP Random Forest,DP e=1.0,0.9514,0.0,0.0,0.0,0.14586973190307617
COVID-19,46,DP Random Forest,DP e=0.5,0.9514,0.0,0.0,0.0,0.14581084251403809
COVID-19,46,DP Random Forest,DP e=0.1,0.9514,0.0,0.0,0.0,0.14526009559631348
