Seed,Model,Privacy Setting,Train Rows Used,Rows Suppressed,Suppression Rate (%),Equivalence Classes Before,Equivalence Classes After,Min Equivalence Class Size,Accuracy,F1 Score,Precision,Recall,Train Time (s),Predict Time (s),Skipped Reason
123,K-anonymised Logistic Regression,K-anonymity k=5,39942,58,0.14,135,101,5,0.904,0.5303,0.3733,0.9155,0.0177,0.0005,
123,K-anonymised Random Forest,K-anonymity k=5,39942,58,0.14,135,101,5,0.8938,0.5101,0.3509,0.9341,0.4605,0.0387,
123,K-anonymised Logistic Regression,K-anonymity k=10,39915,85,0.21,135,97,11,0.904,0.5303,0.3733,0.9155,0.0169,0.0004,
123,K-anonymised Random Forest,K-anonymity k=10,39915,85,0.21,135,97,11,0.892,0.5055,0.3467,0.9324,0.4593,0.0386,
123,K-anonymised Logistic Regression,K-anonymity k=20,39693,307,0.77,135,82,22,0.891,0.4995,0.343,0.9189,0.0162,0.0004,
123,K-anonymised Random Forest,K-anonymity k=20,39693,307,0.77,135,82,22,0.8917,0.5057,0.3465,0.9358,0.4547,0.0383,
123,K-anonymised Logistic Regression,K-anonymity k=50,39039,961,2.4,135,64,61,0.8896,0.4973,0.3404,0.9223,0.0182,0.0004,
123,K-anonymised Random Forest,K-anonymity k=50,39039,961,2.4,135,64,61,0.8933,0.5085,0.3496,0.9324,0.4438,0.038,
123,K-anonymised Logistic Regression,K-anonymity k=100,38396,1604,4.01,135,55,102,0.8923,0.5025,0.3458,0.9189,0.0239,0.0005,
123,K-anonymised Random Forest,K-anonymity k=100,38396,1604,4.01,135,55,102,0.8915,0.5043,0.3456,0.9324,0.431,0.0371,
